rank|status|study|conditions|interventions|study_type|phase|funder_type|outcome_measures|number_enrolled|nct_number|start_date
3389|Terminated|Comparative Evaluation of Albumin and Starch Effects in Acute Lung Injury (ALI)||Drug:5%humanalbumin;  Drug:6%hetastarch|Interventional|Phase 3|Other|Changeinextravascularlungwater(EVLW);  Changeinoxygenation(PaO2/FiO2ratio);  Duration of mechanical ventilation (ventilator-free days)|31|NCT00796419|January 2009
3390|Unknown&nbsp;&#8224;|Safety and Efficacy Study of an Ophthalmic Solution in Patients With Age-Related Cataract||Drug:C-KADOphthalmicSolution;  Drug:Placebo|Interventional|Phase 2|Industry|Best-correctedvisualacuitybyETDRS|80|NCT00793091|November 2008
3391|Completed|Patient Outcomes Evaluation of the EBI Vuelock&#8482; Anterior Cervical Plate System||Device:VueLock&#8482;AnteriorCervicalPlate|Observational||Industry|ProportionofPatientswithradiographicfusion;  Neck Disability Index and SF-36 scores change from baseline|371|NCT00726128|August 1998
3392|Completed|Open Label Phase 1 Dose Finding Study of TRC105 in Patients With Solid Cancer||Drug:TRC105chimericanti-CD105antibody|Interventional|Phase 1|Industry|SafetyandTolerabilitywillbeevaluated;  DoseLimitingToxicities;  PharmacokineticsofTRC105monoclonalantibody;  Numberofresponsesbytumortype|51|NCT00582985|December 2007
3393|Completed|Safety and Efficacy of IDEC-114 in the Treatment of Non-Hodgkin&apos;s Lymphoma||Drug:IDEC-114|Interventional|Phase 1 / Phase 2|Industry|To characterize the safety profile of IDEC-114 and to define their duration and reversibility;  ToevaluatePK;  To monitor presence of human anti galiximab antibody;  Toevaluateefficacy;  To identify Nk functional assays that may predict galiximab efficacy|42|NCT00575068|January 2002
3394|Completed                  Has Results|DePuy Trochanteric (ATN) Nailing Clinical Outcomes Trial||Device:Intramedullarynailing|Interventional|Phase 4|Industry|SuccessinTermsoftheMerleD&apos;AubigneScore;  LowerExtremityMeasure(LEM);  MedicalImaging;  SixItemScreenerandAmbulatoryStatus;  SF-12;  Merled&apos;AubigneandPostel|62|NCT00546429|September 2006
3395|Terminated|Study of XL228 Administered Intravenously to Subjects With Advanced Malignancies||Drug:XL228|Interventional|Phase 1|Industry|To assess the safety and tolerability of XL228 administered as a once-weekly or twice-weekly 1-hour intravenous (IV) infusion in subjects with advanced malignancies.;  To determine the maximum tolerated dose (MTD) and dose-limiting toxicity (DLT) of XL228 administered as a once- or twice-weekly 1-hour IV infusion in subjects with advanced malignancies.;  To evaluate plasma pharmacokinetics of XL228 administered as a once- or twice-weekly 1-hour IV infusion in subjects with advanced malignancies.;  To evaluate preliminary safety and efficacy of XL228 when administered at the once-weekly MTD|84|NCT00526838|September 2007
3396|Completed|Safety and Tolerability Study of SNS-314 for Advanced Solid Tumors||Drug:SNS-314|Interventional|Phase 1|Industry|ToassessthesafetyandtolerabilityofSNS-314|50|NCT00519662|August 2007
3397|Completed|A Study to Evaluate the Effects of Pharmacological Chaperones in Cells From Patients With Pompe Disease||Other:Observation|Observational||Industry|To evaluate and characterize the effects of pharmacological chaperones on enzyme activity and other markers of disease in cell lines derived from patients with Pompe disease;  To study biomarkers associated with Pompe Disease and study the correlation between biomarkers and clinical disease state of patients with Pompe disease|30|NCT00515398|August 2007
3398|Completed                  Has Results|Avastin in Combination With Docetaxel in Ovarian/Fallopian Tube/Peritoneum Carcinoma||Drug:Avastin;  Drug:Docetaxel|Interventional|Phase 2|Other / NIH / Industry|SixMonthProgressionFreeSurvival(PFS);  MedianProgressionFreeSurvival;  OverallResponseRate(RR);  OccurrenceofGrade3or4Toxicity;  OverallSurvival(OS)|45|NCT00504257|March 2007
3399|Completed                  Has Results|Safety Study of Ziprasidone (Geodon) for the Depressive Mixed State||Drug:ziprasidone(Geodon);  Drug:placebo|Interventional|Phase 2|Other / Industry|The Primary Outcome Measure Was Change in Montgomery-Asberg Depression Rating Scale (MADRS) Scores Over Weeks Between Groups.|73|NCT00490542|December 2006
3400|Completed|Multi-Center Pre-Bariatric Weight Loss Study||Device: GI Sleeve Implantable weight loss device (EndoBarrier);  Procedure:ShamProcedure|Interventional|Phase 2|Industry|WeightLoss|69|NCT00469391|June 2007
3401|Completed                  Has Results|A Study of MDX-1106 in Patients With Selected Refractory or Relapsed Malignancies||Biological:MDX-1106|Interventional|Phase 1|Industry|Number of Participants With Severe Adverse Events (AEs) Serious Adverse Events (SAEs) Drug-Related AEs Deaths Discontinuation of Study Drug Due to AE Dose-Limiting Toxicity (DLT) AE and Immune-related AEs (irAEs) in Safety Population;  Geometric Mean Maximum Serum Concentration (Cmax) Observed Post-Single Dose;  Median Time at Which the Maximum Serum Concentration Occurred (Tmax) Post-Single Dose;  Geometric Mean Area Under the Curve (AUC) From Time of Dosing to Time of Last Observation (0-T) and Extrapolated to Infinity (INF) Observed Post-Single Dose;  Mean Elimination Half-life (T-HALF) Post-Single Dose;  Geometric Mean Total Body Clearance of Drug From Serum (CLT) Post-Single Dose;  MeanVolumeofDistribution(Vz)Post-SingleDose;  Percent of Participants With Best Overall Response Rate in Safety Population and in Tumor Evaluable Population;  Percent of Participants With Prostate-Specific Antigen (PSA) Response After the First Dose by Day 85 In Participants With Hormone-Refractory Prostate Adenocarcinoma (HRPC);  Number of Participants With Best Overall Response (BOR) by Category in Safety Population;  Percentage of Participants With Disease Control and Major Durable Disease Control;  Median Time to Tumor Response and Duration of Tumor Response;  Time to Tumor Progression and Tumor Progression Free Survival;  Median Time to PSA Progression in Days and Median PSA Progression Free Survival in Days in PSA Evaluable Population;  Mean Change From Baseline in PSA Relative Velocity at Days 29 57 and 85 With Cycle 1 in PSA Evaluable Population;  Mean Change From Baseline in Electrocardiogram Parameters PR QRS and QT in Safety Population;  Mean Diastolic Blood Pressure at Baseline and Post-Infusion Day 1 (Cycle 1) in 0.3 mg Cohort - Safety Population;  Mean Systolic Blood Pressure at Baseline and Post-Infusion Day 1 (Cycle 1) in 0.3 mg Cohort - Safety Population;  Mean Diastolic Blood Pressure at Baseline and Post-Infusion Day 1 (Cycle 1) in 1mg 3mg and 10 mg Cohorts - Safety Population;  Mean Systolic Blood Pressure at Baseline and Post-Infusion Day 1 (Cycle 1) in in 1mg 3mg and 10 mg Cohorts - Safety Population|39|NCT00441337|August 2006
3402|Completed|Educational Program for Various Health Literacy Levels to Improve the Health of Individuals With Heart Failure||Behavioral:TeachtoGoal(TTG);  Behavioral:BriefEducationalIntervention(BEI)|Interventional||Other / NIH|Allcausehospitalization;  Allcausemortality;  Heartfailurequality-of-life;  Heartfailure-relatedhospitalizations;  Difference between groups for adoption of appropriate self-management knowledge and behaviors|605|NCT00378950|March 2007
3403|Completed                  Has Results|NGU: Doxycycline (Plus or Minus Tinidazole) Versus Azithromycin (Plus or Minus Tinidazole)||Drug:Tinidazole;  Other:Placebo;  Drug:Doxycycline;  Drug:Azithromycin|Interventional|Phase 2|NIH|Safety and Tolerability of Doxycycline/Tinidazole and Azithromycin/Tinidazole: Number of Participants Reporting Nausea;  Safety and Tolerability of Doxycycline/Tinidazole and Azithromycin/Tinidazole: Number of Participants Reporting Vomiting;  Safety and Tolerability of Doxycycline/Tinidazole and Azithromycin/Tinidazole: Number of Participants Reporting Stomach Upset;  Safety and Tolerability of Doxycycline/Tinidazole and Azithromycin/Tinidazole: Number of Participants Reporting of Abdominal Pain;  Safety and Tolerability of Doxycycline/Tinidazole and Azithromycin/Tinidazole: Number of Participants Reporting Diarrhea;  Percentage of Participants Achieving Clinical Cure of Non-gonococcal Urethritis (NGU) With Doxycycline Versus Doxycycline With Tinidazole; and Azithromycin Versus Azithromycin With Tinidazole;  Percentage of Participants Achieving Clinical Cure of NGU With (Doxycycline Plus Doxycycline/Tinidazole) Versus (Azithromycin Plus Azithromycin/Tinidazole);  Percentage of Participants Achieving Microbiological Cure of Chlamydia Trachomatis With Doxycycline Versus Doxycycline With Tinidazole; and Azithromycin Versus Azithromycin With Tinidazole;  Percentage of Participants Achieving Microbiological Cure of Trichomonas Vaginalis With Doxycycline Versus Doxycycline With Tinidazole; and Azithromycin Versus Azithromycin With Tinidazole;  Percentage of Participants Achieving Microbiological Cure of Mycoplasma Genitalium With Doxycycline Versus Doxycycline With Tinidazole; and Azithromycin Versus Azithromycin With Tinidazole;  Prevalence of Chlamydia Trachomatis in Men With Non-gonococcal Urethritis;  Prevalence of Trichomonas Vaginalis (Swab or Urine Specimen) in Men With Non-gonococcal Urethritis;  Prevalence of Mycoplasma Genitalium in Men With Non-gonococcal Urethritis;  Clinical Behavioral and Demographic Predictors of Chlamydia Trachomatis in Men With Non-gonococcal Urethritis;  Clinical Behavioral and Demographic Predictors of Trichomonas Vaginalis in Men With Non-gonococcal Urethritis;  Clinical Behavioral and Demographic Predictors of Mycoplasma Genitalium in Men With Non-gonococcal Urethritis;  Specimens for Future Studies to Determine the Role of Unique and Novel Pathogens in the Etiology of Non-gonococcal Urethritis|305|NCT00322465|November 2006
3404|Active not recruiting|Phase II Trial of Bevacizumab in Combination With Pemetrexed as 2nd Line Therapy in Patients With Stable Brain Metastases From Non-small Cell Lung Cancer||Drug:Bevacizumab;  Drug:Pemetrexed;  Drug:VitaminB12;  Drug:folate;  Drug:dexamethasone|Interventional|Phase 2|Other / Industry|Safety of combining bevacizumab and pemetrexed in non-small cell lung cancer (NSCLC) patients with stable brain metastases;  Progression free survival (PFS) and overall survival;  tumorcontamination|40|NCT00227019|March 2006
3405|Completed|Comparison of PolyethyleneGlycol and Placebo for Relief of Constipation From Constipating Medications||Drug:polyethyleneglycol3350|Interventional|Phase 4|Industry|A successful outcome is defined as no longer meeting the definition of constipation using ROME I criteria;  AnalysisofindividualROMEIcriteria;  Safety(adverseeventandlaboratorytesting)|100|NCT00153127|November 2001
3406|Completed|Letrozole Herceptin in Her2neu + Estrogen Receptor [ER] and/or Progesterone Receptor [PR] Positive MBC||Drug:Letrozole;  Drug:Trastuzumab|Interventional|Phase 2|Other / Industry|To determine the proportion of patients with ER and/or PR positive ErbB2 positive tamoxifen resistant metastatic breast cancer who achieve complete remission (CR);  orpartialremission(PR);  or no significant change in lesion size for greater than 24 weeks;  To determine duration of response and median time to progression with letrozole plus trastuzumab treatment;  To evaluate the clinical adverse experience during treatment with letrozole plus trastuzumab treatment;  To generate a tumor and serum bank from patients receiving combination trastuzumab and letrozole treatment;  To analyze ErbB2 expression on circulating malignant cells during treatment with letrozole and trastuzumab|33|NCT00134680|January 2000
3407|Completed|A Comparison of Two Anti-HIV Drug Regimens for Youth Who Have Failed Prior Therapy||Drug:Abacavirsulfate;  Drug:Emtricitabine;  Drug:Lamivudine;  Drug:Lopinavir/ritonavir;  Drug:Saquinavir;  Drug:Tenofovirdisoproxilfumarate;  Drug:Zidovudine|Interventional|Phase 2|NIH|Tolerability of dual PI-based HAART versus multi-NRTI HAART salvage regimens (time to first intolerant event);  95% confidence interval (CI) for change in CD4% computed for PI-containing groups versus PI-sparing group;  95% CI for change in BMD (both percent change in BMD and change in z-score from baseline) for each treatment group;  HIV-1RNA;  growthanddevelopmentmarkers;  toxicity;  adherence;  pharmacokinetics;  specialvirologicandimmunologicparameters|6|NCT00102206|
3408|Completed|Safety Assessment of Weekly Intravenous Infusions of SNS-595 for the Treatment of Solid Tumors||Drug:SNS-595|Interventional|Phase 1|Industry|||NCT00094159|October 2004
3409|Completed|Initial Safety Assessment of SNS-595 for the Treatment of Solid Tumors.||Drug:SNS-595|Interventional|Phase 1|Industry|||NCT00091585|June 2004
3410|Completed|Buprenorphine/Naloxone - Facilitated Rehabilitation for Opioid Dependent Adolescents - 1||Drug:Buprenorphine/naloxone|Interventional|Phase 3|Other|Opiateabstinence|223|NCT00078130|July 2003
3411|Completed|Celecoxib in Treating Patients With Early-Stage Head and Neck Cancer or Non-Small Cell Lung Cancer||Drug:celecoxib;  Procedure:adjuvanttherapy|Interventional|Phase 2|Other / NIH|||NCT00058006|September 2002
3412|Completed|NBI-3001 Followed by Surgery in Treating Patients With Recurrent Glioblastoma Multiforme||Biological:interleukin-4PE38KDELcytotoxin;  Procedure:conventionalsurgery|Interventional|Phase 2|Industry|||NCT00014677|March 2001
3413|Completed|Patient Education in Preventing Nausea and Vomiting in Cancer Patients Receiving Chemotherapy||Drug:ondansetron|Interventional||Other / NIH|||NCT00005994|August 2000
3414|Completed|Etoposide in Treating Patients With Relapsed Non-Hodgkin&apos;s Lymphoma||Drug:Etoposidephosphate|Interventional|Phase 2|Other / NIH|Pharmacodynamicsofetoposide;  Response|53|NCT00002880|November 1996
3415|Completed|The Safety and Effectiveness of Ganciclovir Used Alone or in Combination With Granulocyte-Macrophage Colony Stimulating Factor in the Treatment of Cytomegalovirus (CMV) of the Eye in Patients With AIDS||Drug:Zidovudine;  Drug:Sargramostim;  Drug:Ganciclovir|Interventional||NIH / Industry||50|NCT00000989|
3416|Completed|A Phase I Dose-Escalating Safety and Tolerance Study of sCD4-PE40 in HIV-Infected Persons||Drug:Alvirceptsudotox;  Drug:Zidovudine|Interventional|Phase 1|NIH / Industry||64|NCT00000743|
3417|Completed|Combination Chemotherapy in Treating Patients With Extensive-Stage Small Cell Lung Cancer||Drug:carboplatin;  Drug:etoposide;  Drug:topotecanhydrochloride;  Radiation:radiationtherapy|Interventional|Phase 2|Other / NIH|Responserate;  Durationofresponse;  Failure-freeandoverallsurvival;  Pharmacokinetics and pharmacodynamics of topotecan and etoposide||NCT00025272|November 2001
3418|Unknown&nbsp;&#8224;|Safety Efficacy and Pharmacokinetic Study of PRLX 93936 in Patients With Multiple Myeloma||Drug:PRLX93936|Interventional|Phase 1 / Phase 2|Industry|MaximumToleratedDose;  Responsetotreatment;  Timetoresponse;  Durationofresponse;  Timetoprogression|40|NCT01695590|March 2012
3419|Completed|Validation of PROMIS Banks With COPD Exacerbations|||Observational||Other||188|NCT00784342|July 2008
3420|Completed|The MIND Study: Modifying the INcidence of Delirium||Drug:Ziprasidone;  Drug:Haloperidol;  Other:Placebo|Interventional|Phase 2|Other|Days alive and free of delirium and coma (delirium and coma free days);  Severity of neuropsychological dysfunction at hospital discharge;  aliveandfreeofdelirium(deliriumfreedays);  Lengthofstayonmechanicalventilation;  Mechanicalventilationfreedays;  lengthofstayintheICU;  Lengthofstayinthehospital;  hospitalmortality;  mortalityat1year|102|NCT00096863|December 2004
3421|Completed|Thalidomide and Procarbazine in Treating Patients With Recurrent or Progressive Malignant Glioma||Drug:procarbazinehydrochloride;  Drug:thalidomide|Interventional|Phase 2|Other / NIH|Response rate by CT scan and MRI at baseline pre-odd cycles and study completion;  Progression-free survival by CT scan MRI and follow up form at baseline pre-odd cycles and study completion;  Overall survival by follow-up form at study completion;  Quality of life by FACT-Br FACIT-F and Karnofsky performance status (PS) at baseline pre-odd cycles and study completion;  Toxicity by evaluation form at baseline pre-odd cycles and study completion|55|NCT00079092|January 2004
3422|Completed|Radiation Therapy Plus Thalidomide and Temozolomide in Treating Patients With Newly Diagnosed Brain Metastases||Drug:temozolomide;  Drug:thalidomide;  Radiation:radiationtherapy|Interventional|Phase 2|Other / NIH|Overallmediansurvival;  Radiographic response rate as assessed by MRI and RECIST one-dimensional criterion at 1 month 3 months and every 3 months thereafter;  Mediantimetotumorprogression;  Median time to neurologic response and progression;  Causeofdeathatmediantime;  Quality of life as assessed by FACT-BT FACT-F and Beck Depression Inventory at 1 month 3 months and every 3 months thereafter;  Toxicity as assessed by NCI Common Toxicity Criteria (CTC) version 2.0 for up to 90 days||NCT00049361|January 2004
3423|Completed|Combination Chemotherapy Plus Thalidomide in Treating Patients With Stage IIIB or Stage IV Non-Small Cell Lung Cancer||Drug:carboplatin;  Drug:irinotecanhydrochloride;  Drug:thalidomide|Interventional|Phase 2|Other / NIH|||NCT00025285|November 2001
3424|Completed|Open-Label Study of OTO-201 for Treatment of AOMT||Drug:OTO-201|Interventional|Phase 2|Industry|Safety as assessed by adverse events and otoscopic exams;  Feasibilityofadministration;  Clinical effect as assessed by the Absence of otorrhea|39|NCT02408796|March 2015
3425|Completed|A Study of the Efficacy and Safety of ETC-1002 in Subjects With Statin Intolerance||Drug:ETC-1002;  Drug:Placebo|Interventional|Phase 2|Industry|PercentchangefrombaselineinLDL-C;  Percent change from baseline in other lipids and cardio-metabolic risk factors;  PercentachievingLDL-Cgoal;  Numberofsubjectswithadverseevents;  Number of subjects with muscle related adverse events|56|NCT01751984|October 2012
3426|Active not recruiting|Knee Arthroplasty Pain Coping Skills Training (KASTPain): A Randomized Trial||Behavioral:PainCopingSkillsTraining;  Behavioral:ArthritisEducation;  Other:UsualCare|Interventional|Phase 3|Other / NIH|Western Ontario and McMaster Universities Osteoarthritis Index (WOMAC) Pain Scale;  WOMACPhysicalFunctionScale;  0to10verbalpainratingscale;  PainCatastrophizingScale;  GlobalRatingofChangeScale;  Patient Health Questionnaire (PHQ-8) Depression Scale;  EuroQol(EQ-5D-5L);  Healthcarerelatedcostdiary;  WOMACPainScale;  Six-minuteWalkTest;  ShortPhysicalPerformanceBattery|402|NCT01620983|December 2012
3427|Completed                  Has Results|Randomized Single Blind Placebo Controlled to Evaluate Efficacy and Safety of Polidocanol Injectable Foam for Treatment of Symptomatic Visible Varicose Veins With SFJ Incompetence||Drug: Varisolve (Polidocanol Endovenous Microfoam);  Drug:AgitatedSaline|Interventional|Phase 2 / Phase 3|Other|The Absolute Change From Baseline Score for the VVSymQ (Total Score) at 8 Weeks|77|NCT00758420|October 2008
3428|Completed|Phase 1-2 Evaluation of OT-730 Eye Drops in Reducing the Intraocular Pressure in Patients With Ocular Hypertension or Open-Angle Glaucoma||Drug:OT-730ophthalmicsolution;  Drug:timololmaleateophthalmicsolution;  Drug:OT-730placebo|Interventional|Phase 1 / Phase 2|Industry|AssessthesafetyprofileofOT-730;  Changefrombaselineinintraocularpressure|48|NCT00753168|September 2008
3429|Completed|Tolerability Safety and Efficacy of RKI983 Eye Drops in Subjects With Primary Open Angle Glaucoma and Ocular Hypertension||Drug:RKI983|Interventional|Phase 1|Industry|Rates of adverse events and serious adverse events as well as changes in ophthalmic evaluations laboratory values ECGs and vital signs over period of 7 days treatment.;  Change in ocular hypertension from Baseline to Day 7.|90|NCT00515424|July 2007
3430|Completed|Paclitaxel in Treating Patients With Extensive-Stage Small Cell Lung Cancer||Drug:paclitaxel|Interventional|Phase 2|Other / NIH|ResponseRate;  Progression-freesurvival;  Overallsurvival;  Overallresponse;  Toxicity|36|NCT00005646|April 2000
3431|Completed                  Has Results|The Esteem&#174; Hearing Implant Post Approval Study||Device:TheEsteemHearingImplant|Observational|Phase 4|Industry|Change From Baseline (Pre-implant Aided Condition) at Year 5 in Speech Reception Threshold (SRT);  Change From Baseline (Pre-implant Aided Condition) at Year 5 in Word Recognition Score (WRS) at 50 dB HL;  Incidence of Serious Adverse Device Events (SADEs) and Device Failures and Replacements at Each Follow-up.;  BoneConductionStability;  Improvement in Quality of Life as Reflected by Abbreviated Profile of Hearing Aid Benefit (APHAB) Questionnaire|51|NCT02666222|August 2010
3432|Completed                  Has Results|Esteem Totally Implantable Hearing System||Device:EsteemTotallyImplantableHearingSystem|Interventional||Industry|SRTImprovement;  WordRecognitionScoreImprovement;  SADEs;  AssessmentofCochlearFunction;  PTAImprovement;  QuickSIN;  APHAB;  EsteemQuestionnaire|57|NCT01092910|January 2008
3433|Terminated|An Open Label Safety and Tolerability Study of AIN457 in Patients With Moderate to Severe Crohn&apos;s Disease||Drug:AIN457|Interventional|Phase 2|Industry|To assess the long-term safety and tolerability of AIN457 in patients with moderate to severe Crohn&apos;s disease who participated in the core CAIN457A2202 phase II proof-of-concept study.;  ToassessthelongtermimmunogenicityofAIN457;  To assess the long term concentration of IL-17 in blood;  To assess markers of disease activity CRP calprotectin and lactoferrin in the long term;  To assess the pharmacokinetics of AIN457 at steady-state|7|NCT01009281|October 2009
3434|Completed|A Safety Evaluation of Drotrecogin Alfa (Activated) in Patients With Blood Cancer Severe Infection Related to Bone Marrow Transplantation||Drug:DrotrecoginAlfa(activated)|Interventional|Phase 4|Industry|Safety;  Mortality;  Bleedingincidence|7|NCT00067730|March 2003
3435|Active not recruiting|Effectiveness of an mHealth Colorectal Cancer Screening Intervention||Behavioral:mCRCintervention;  Behavioral:HealthyLifestylesvideo|Interventional||Other / NIH|CompletionofCRCScreening;  CRCScreeningAttitudesandBeliefs;  IntentiontoreceiveCRCscreening;  Self-efficacy;  Abilitytomakeascreeningdecision;  CRCscreeningdiscussions;  Satisfactionwithscreeningdecision;  CRCscreeningtestorder;  CostofthemCRCintervention;  UsabilityofthemCRCsystem|450|NCT02088333|June 2014
3436|Active not recruiting|Identifying the Genetic Predictors of Severe Acne Vulgaris and the Outcome of Oral Isotretinoin Treatment|||Observational||Other|Therapeuticresponsetoisotretinoin;  Adversereacciontoisotretinoin|250|NCT01727440|September 2011
3437|Active not recruiting|The MURDOCK Study Community Registry and Biorepository Multiple Sclerosis Cohort|||Observational||Other|Serum-based proteomic biomarkers associated with disease initiation and progression in MS|1000|NCT01723709|June 2010
3438|Active not recruiting|Implementing a Physical and Cognitive Performance Assessment Cohort in the MURDOCK Study Community Registry and Biorepository||Genetic:Biomarkerstudies|Observational||Other|Implementing a Physical and Cognitive Performance Assessment Cohort in the MURDOCK Study Community Registry and Biorepository|1000|NCT01720472|May 2012
3439|Completed|The Weight-Wise Weight Loss Translation Study||Behavioral:SpecialIntervention;  Behavioral:DelayedIntervention|Interventional||Other / U.S. Fed|Weight Change difference between baseline and 4 month follow-up;  Change in blood pressure dietary intake physical activity and quality of life between baseline and 4 month follow-up|189|NCT01141348|January 2009
3440|Completed|Hormonal and Environmental Risk Factors for Developing Systemic Lupus Erythematosus: The Carolina Lupus (CLU) Study|||Observational||NIH||640|NCT00342095|December 1996
3441|Completed|Reducing Symptoms of Depression in Low-Income Mothers||Behavioral:ModifiedInterpersonalTherapy;  Behavioral:Attentioncontrol/usualcare|Interventional|Phase 2|Other / NIH|Levelofdepressivesymptoms;  Motherchildinteractions|226|NCT00074789|June 2003
3442|Recruiting|Genotype-Directed Study Of Irinotecan Dosing In FOLFIRI + BevacizumabTreated Metastatic Colorectal Cancer||Drug:5-Fluorouracil;  Drug:Leucovorin;  Drug:Irinotecan;  Drug:Bevacizumab|Interventional|Phase 2|Other|ProgressionFreeSurvival;  Toxicity;  OverallResponse;  OverallSurvival|100|NCT02138617|May 2014
3443|Completed|Combination Chemotherapy in Treating Women With Breast Cancer That is Metastatic or Cannot be Treated With Surgery||Drug:docetaxel;  Drug:fluorouracil|Interventional|Phase 2|Other / NIH|To determine the response rate to this combination after two to four courses of Docetaxel (Taxotere) And 5-Fluorouracil;  To evaluate toxicities of Docetaxel (Taxotere) And 5-Fluorouracil|25|NCT00015886|January 1997
3444|Completed|A Non-Invasive Neuromodulation Device for Treatment of Migraine Headache||Device: neuromodulation for episodic migraine headache|Interventional||Industry|Numberofmonthlymigraineheadachedays;  Number of monthly migraine headache days (reduction by by 50% or more);  Totalmonthlypainscore;  Mood and cognition measures - Change in mood scores;  Verifytheabsenceofmaterialdizziness;  Mood and cognition measures - Change in cognitive speed scores;  Mood and cognition measures - Change in memory scores|81|NCT01899040|August 2013
3445|Active not recruiting|Induction Chemo w/ABVD Followed by Brentuximab Vedotin Consolidation in Newly Diagnosed Non-Bulky Stage I/II Hodgkin Lymphoma||Drug:Brentuximabvedotin;  Drug:ABVD|Interventional||Other / Industry|Feasibility;  ResponseRate;  ProgressionFreeSurvival;  TimetoProgression;  Toxicity|41|NCT01578967|April 2012
3446|Completed|Sertraline Compared With Hypericum Perforatum (St.John&apos;s Wort) in Treating Depression||Drug:Zoloft50mg;  DietarySupplement:St.John&apos;sWort600mg|Interventional|Phase 3|Other / NIH|Depression severity as measured by Hamilton Depression rating scale.;  Somnolence nausea and insomnia as assessed by the NCI Common Toxicity Criteria. The Epworth Sleepiness Scale will also be used to assess somnolence.;  Fatigue as measured by the Functional Assessment of Chronic Illness Therapy-Fatigue Scale.|2|NCT00066859|March 2004
3447|Recruiting|Trial to Evaluate Beta-Lactam Antimicrobial Therapy of Community Acquired Pneumonia in Children||Drug:Amoxicillin;  Drug:Amoxicillin-clavulanate;  Drug:Cefdinir;  Other:Placebo|Interventional|Phase 4|NIH|DesirabilityofOutcomeRanking(DOOR);  Adequate clinical response rates (a component of DOOR);  Frequencyofsolicitedevents;  Receipt of non-study systemic antibiotics for all causes during medically attended visits;  Receipt of non-study systemic antibiotics for persistent or worsening pneumonia during medically attended visits;  Resolutionofsymptoms(acomponentofDOOR)|400|NCT02891915|October 2016
3448|Active not recruiting|A Smoking Cessation Study to Understand the Biological and Functional Changes After One Year of Smoking Cessation|||Observational||Industry|LevelsofhighdensitylipoproteinC(HDL-C).;  Levelsofwhitebloodcells(WBC).;  Post-bronchodilator forced expiratory volume in 1 second (FEV1).;  Concentrations of soluble intercellular adhesion molecule 1 (sICAM-1).;  Concentrations of 11-dehydrothromboxane B2 (11-DTXB2).;  Concentrations of 8-epi-prostaglandin F2&#945; (8-epi-PGF2&#945;).;  Concentrations of total 4-(methylnitrosamino)-1-(3-pyridyl)-1-butanol (total NNAL).;  Levelsofcarboxyhemoglobin(COHb).|1020|NCT02432729|May 2015
3449|Completed|Zenapro&#8482; Hybrid Hernia Repair Device for Ventral Hernia Repair||Device:HybridGraft|Observational||Industry|Rateofherniarecurrence|63|NCT01784822|February 2013
3450|Unknown&nbsp;&#8224;|A Pharmacogenomic Exploration of Lacosamide Response|||Observational||Other|Seizurefrequency;  Maintenancedose;  Adversedrugreactions|660|NCT01399528|September 2011
3451|Unknown&nbsp;&#8224;|CT Coronary Angiogram Versus Traditional Care in Emergency Department Assessment of Potential ACS||Procedure:CTCoronaryAngiography;  Procedure:TraditionalStandardofCare|Interventional|Phase 4|Other|To estimate the rate of major cardiac events (AMI or cardiac death) within 30 days in participants in Group B who were found not to have stenosis of the main or first order coronary branches greater than or equal to 50% by CT coronary angiography.;  To estimate and compare the rates of significant CAD detected within the index visit in participants across the two study arms.;  To compare hospital length of stay across the two study groups.;  To compare health care utilization and cost incurred by participants in the two study groups during the index hospitalization.;  To compare cardiac health care utilization and cost incurred by participants in the two study groups during 1 year post triage/presentation.;  To compare rates of major cardiac events (cardiac death AMI and revascularization for participants who were not found to have significant CAD at the index visit) among participants in the two study groups within 1 year post triage/presentation.|1365|NCT00933400|July 2009
3452|Completed|Study of MGCD0103 Given Three Times Weekly in Patients With Relapsed and Refractory Lymphoma||Drug:MGCD0103|Interventional|Phase 2|Industry|Responserate;  Progression-freesurvival;  Durationofobjectiveresponse;  Safetyprofile;  Pharmacokinetics;  Pharmacodynamics|74|NCT00359086|August 2006
3453|Completed|SB-681323 IV for Subjects at Risk of Acute Lung Injury or ARDS||Drug:SB-681323Intravenous3mg;  Drug:SB-681323Intravenous7.5mg;  Drug:SB-681323Intravenous7.5mg;  Drug:SB-681323Intravenous10mg;  Other:Placebo|Interventional|Phase 2|Industry|Safety and tolerability of intravenous SB-681323 repeated for three days in patients at risk for developing ALI or ARDS;  Evaluation of the pharmacokinetics of intravenous SB-681323 infused over 4 or 24 hours for three days in patients at risk for developing ALI or ARDS;  Evaluate the effects of intravenous SB-681323 infused over 4 or 24 hours for three days compared with placebo in this population on biomarkers.;  Evaluate the effects of intravenous SB-681323 infused over 4 or 24 hours for three days compared with placebo in this population on acute kidney injury scales.|90|NCT00996840|October 2009
3454|Completed|Lidocaine and Tetracaine Cream to Treat Postherpetic Neuralgia (PHN)||Drug:lidocaineandtetracainecream7%/7%;  Drug:Placebo|Interventional|Phase 2|Industry|Pain will be rated using the Numeric Pain Rating Scale (NPRS). Patients will rate: Worst pain over the last 24 hours Least pain over the last 24 hours Average pain over the last 24 hours Present pain intensity.;  Area of allodynia will be mapped at baseline and at the treatment sessions.;  Intensityofallodynia;  Patientglobalimpressionofchange.|23|NCT00609323|January 2008
